Estonia Voting;;;;
;;;;
Election year;share_tot;Elligible voters;i-votes;share i-votes
2019;63,7;885417;155521;17,56471809
2017;53,3;1100647;186034;16,90224023
2015;64,2;899793;176491;19,61462247
2014;36,5;902873;103151;11,42475188
2013;58;1086935;133808;12,31057975
2011;63,5;913346;140846;15,42088102
2009;60,6;1094317;104413;9,541385174
2007;61,9;897243;30275;3,374225266
2005;47,4;1059292;9317;0,879549737
2004;26,8;1;0;0
2003;58,2;1;0;0
2002;52,5;1;0;0
1999;57,4;1;0;0
1996;52,5;1;0;0
1995;68,9;1;0;0
1993;52,6;1;0;0
1992;67,8;1;0;0
